"listingValue","product_name","product_url","product_features_name","product_features_Values_name","remove"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Finish","Silver","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Finish","Space Gray","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Display","Retina display","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Display","13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Display","Supported scaled resolutions:
1680 by 1050
1440 by 900
1024 by 640","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Display","500 nits brightness","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Display","Wide color (P3)","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Display","True Tone technology","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Chip","Apple M1 chip
8-core CPU with 4 performance cores and 4 efficiency cores
8-core GPU
16-core Neural Engine","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Battery and Power1","Up to 17 hours wireless web","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Battery and Power1","Up to 20 hours Apple TV app movie playback","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Battery and Power1","Built-in 58.2-watt-hour lithium-polymer battery","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Battery and Power1","61W USB-C Power Adapter","1"
